Disposition,OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,PersonType,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Report Type,Category
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27,VICTIM,WHITE,FEMALE,62,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27,VICTIM,WHITE,MALE,39,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27,VICTIM,WHITE,MALE,50,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27,VICTIM,WHITE,MALE,50,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,22,VICTIM,BLACK,FEMALE,27,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,WHITE,FEMALE,23,VICTIM,WHITE,FEMALE,46,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,49,VICTIM,BLACK,FEMALE,53,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,27,VICTIM,BLACK,FEMALE,36,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,25,VICTIM,WHITE,FEMALE,28,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,24,VICTIM,WHITE,FEMALE,28,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,BLACK,FEMALE,38,VICTIM,BLACK,FEMALE,41,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,23,VICTIM,BLACK,FEMALE,42,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24,VICTIM,BLACK,MALE,25,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,40,VICTIM,BLACK,MALE,51,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,67,VICTIM,WHITE,FEMALE,53,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,67,VICTIM,WHITE,FEMALE,53,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,23,VICTIM,BLACK,FEMALE,26,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,30,VICTIM,BLACK,FEMALE,41,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,30,VICTIM,BLACK,FEMALE,41,Non-fatal,Supplemental Report,Miscellaneous
OPEN,ARRESTED,BLACK,MALE,40,VICTIM,WHITE,MALE,60,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,34,VICTIM,WHITE,FEMALE,39,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,MALE,76,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,UNKNOWN,MALE,23,VICTIM,UNKNOWN,MALE,39,Fatal,Supplemental Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,23,VICTIM,UNKNOWN,MALE,39,Fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,22,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,22,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,37,VICTIM,BLACK,MALE,30,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,MALE,43,Non-fatal,Incident Report,Violence
